SCHOOLID,SCHOOL_TYPE_CODE,BLANK,SCHOOL_NAME,DISTRICT_NAME,CITY,COUNTY,LOCAL_PROP_TAXES_DISTRICT_DOLLAR,LOCAL_PROP_TAXES_DISTRICT_PCT,LOCAL_PROP_TAXES_STATE_PCT,OTHER_LOCAL_FUNDING_DISTRICT_DOLLAR,OTHER_LOCAL_FUNDING_DISTRICT_PCT,OTHER_LOCAL_FUNDING_STATE_PCT,Total Local Dollars,TOTAL_REVENUE_SOURCE,dollars_per_enrollment,% Local Dollars,DISTRICT_TOTAL_ENROLLMENT,GENERAL_STATE_AID_DISTRICT_DOLLAR,GENERAL_STATE_AID_DISTRICT_PCT,GENERAL_STATE_AID_STATE_PCT,OTHER_STATE_FUNDING_DISTRICT_DOLLAR,OTHER_STATE_FUNDING_DISTRICT_PCT,OTHER_STATE_FUNDING_STATE_PCT,FEDERAL_FUNDING_DISTRICT_DOLLAR,FEDERAL_FUNDING_DISTRICT_PCT,FEDERAL_FUNDING_STATE_PCT,EAV_PER_PUPIL_DISTRICT,TOT_SCHL_TAX_RATE_PER_100_DISTRICT,OPER_EXPEND_PP_DISTRICT
150162990250001,0,,Amundsen High School,City of Chicago SD 299,Chicago,Cook,"$2,506,803,116",47.4,62.8,"$226,204,571",4.3,4.6,"$2,733,007,797","$5,293,733,934","$13,502.67",51.63%,"392,051","$1,014,395,497",19.2,16.3,"$770,529,352",14.6,8.6,"$775,801,398",14.7,7.7,"$176,452",3.67,"$15,378"
310450460220001,0,,Elgin High School,SD U-46,Elgin,Kane,"$297,049,674",61.5,62.8,"$13,132,206",2.7,4.6,"$310,182,004","$482,853,723","$12,082.52",64.24%,"39,963","$97,728,628",20.2,16.3,"$40,333,528",8.4,8.6,"$34,609,687",7.2,7.7,"$117,324",7.58,"$11,404"
41012050250001,0,,Auburn High School,Rockford SD 205,Rockford,Winnebago,"$178,117,201",48.6,62.8,"$9,257,365",2.5,4.6,"$187,374,677","$366,682,691","$12,884.60",51.10%,"28,459","$95,623,462",26.1,16.3,"$41,255,226",11.3,8.6,"$42,429,437",11.6,7.7,"$83,217",7.23,"$12,141"
190222040260001,0,,Waubonsie Valley High School,Indian Prairie CUSD 204,Aurora,Dupage,"$269,772,863",79.9,62.8,"$13,418,926",4,4.6,"$283,191,932","$337,430,526","$11,930.51",83.93%,"28,283","$25,242,272",7.5,16.3,"$19,678,468",5.8,8.6,"$9,317,997",2.8,7.7,"$169,795",5.96,"$11,053"
560992020220001,0,,Plainfield High School,Plainfield SD 202,Plainfield,Will,"$177,161,757",62,62.8,"$11,667,442",4.1,4.6,"$188,829,324","$285,534,682","$10,242.66",66.13%,"27,877","$65,445,210",22.9,16.3,"$20,810,807",7.3,8.6,"$10,449,466",3.7,7.7,"$110,286",6.23,"$9,657"
310453000260002,0,,Dundee-Crown High School,CUSD 300,Carpentersville,Kane,"$176,743,781",70.1,62.8,"$14,115,214",5.6,4.6,"$190,859,128","$252,043,735","$12,044.53",75.73%,"20,926","$25,587,022",10.2,16.3,"$17,908,845",7.1,8.6,"$17,688,873",7,7.7,"$146,529",6.32,"$10,726"
240473080260001,0,,Oswego High School,CUSD 308,Oswego,Kendall,"$128,656,186",64.1,62.8,"$9,312,030",4.6,4.6,"$137,968,343","$200,694,511","$11,094.84",68.75%,"18,089","$43,784,230",21.8,16.3,"$13,387,277",6.7,8.6,"$5,554,788",2.8,7.7,"$93,331",7.86,"$9,284"
56099365U260007,0,,Bolingbrook High School,Valley View CUSD 365U,Bolingbrook,Will,"$167,531,506",68.6,62.8,"$13,029,410",5.3,4.6,"$180,561,047","$244,212,263","$14,348.55",73.94%,"17,020","$29,843,964",12.2,16.3,"$18,598,501",7.6,8.6,"$15,208,882",6.2,7.7,"$133,706",7.37,"$12,669"
340490600260022,0,,Waukegan High School,Waukegan CUSD 60,Waukegan,Lake,"$63,837,301",33.1,62.8,"$1,506,871",0.8,4.6,"$65,344,268","$192,802,303","$11,463.36",33.89%,"16,819","$86,889,263",45.1,16.3,"$20,533,080",10.6,8.6,"$20,035,788",10.4,7.7,"$42,886",9.29,"$12,806"
190222030260001,0,,Naperville Central High School,Naperville CUSD 203,Naperville,Dupage,"$227,524,864",85.3,62.8,"$10,801,022",4,4.6,"$238,326,034","$266,887,541","$15,897.52",89.30%,"16,788","$6,078,550",2.3,16.3,"$13,744,085",5.1,8.6,"$8,739,020",3.3,7.7,"$264,248",5.39,"$14,545"
